state,sea,region,quota_exposure,income_us_born_b,income_us_born_a,income_change,european_immigrant_share_b,european_immigrant_share_a,immigration_change,immigrant_mining_share_b,immigrant_mining_share_a,immigration_mining_change,quota_exposure_state,num_mines_b,num_mines_a,num_mines_change,sea_type
alabama,1,east south central div,0.00106983135310657,6.37157440185547,6.42452669143677,0.0529522895812988,0.00130056645524757,0.000252791236570466,-0.0010477752186771,0.00591715976331361,0.00826446280991736,0.00234730304660375,0.00169897337946168,302,242,-60,agriculture
alabama,2,east south central div,0.000434116757787706,6.33934831619263,6.35238552093506,0.0130372047424316,0.00126578940428786,0.00020693806907969,-0.00105885133520817,0.0045662100456621,0.00150602409638554,-0.00306018594927656,0.00169897337946168,302,242,-60,agriculture
alabama,3,east south central div,0.000986368675057747,6.38848066329956,6.44702053070068,0.0585398674011231,0.00285983510011779,0.000366449937703511,-0.00249338516241428,0.010784071234232,0.000324675324675325,-0.0104593959095567,0.00169897337946168,302,242,-60,mining
alabama,4,east south central div,0.00974759869131958,6.66283369064331,6.77839469909668,0.115561008453369,0.0133167493038104,0.00194980816403547,-0.0113669411397749,0.0135360837591923,0.00119560019129603,-0.0123404835678963,0.00169897337946168,302,242,-60,mining
alabama,5,east south central div,0.000225789941850962,6.35082244873047,6.39284896850586,0.0420265197753906,0.000468627210658746,0.000138140627158447,-0.000330486583500298,0.00558659217877095,0.0256410256410256,0.0200544334622547,0.00169897337946168,302,242,-60,agriculture
alabama,7,east south central div,0.00180309249572019,6.32317876815796,6.38216304779053,0.0589842796325684,0.00351070205096555,0.000169624493776901,-0.00334107755718865,0.0508190945922142,0.000272034820457019,-0.0505470597717572,0.00169897337946168,302,242,-60,mining
alabama,8,east south central div,0.000364478109531774,6.29700613021851,6.38086557388306,0.0838594436645508,0.000785935177433409,0.000137298514430074,-0.000648636663003335,0.0149253731343284,0.0526315789473684,0.0377062058130401,0.00169897337946168,302,242,-60,agriculture
alabama,9,east south central div,0.00197265517726919,6.48942565917969,6.77720737457275,0.287781715393066,0.00343956809474051,0.00150188534543363,-0.00193768274930688,0.0111111111111111,0.0104166666666667,-0.000694444444444445,0.00169897337946168,302,242,-60,manufacture
alabama,10,east south central div,0.000227281742581908,6.32017135620117,6.35877847671509,0.038607120513916,0.000463815971439149,0.000120217265385078,-0.000343598706054071,0.0714285714285714,0.0625,-0.00892857142857143,0.00169897337946168,302,242,-60,agriculture
alabama,11,east south central div,0.0011335585550114,6.31461668014526,6.3658299446106,0.051213264465332,0.0052820830750155,0.00110527770102238,-0.00417680537399312,0.0416666666666667,0.0625,0.0208333333333333,0.00169897337946168,302,242,-60,agriculture
